AÑO,MES,UBIGEO_HECHO,DPTO_HECHO,PROV_HECHO,DIST_HECHO,SEXO,RANGO_EDAD,NACIONALIDAD,CANTIDAD
2022,8,150101,LIMA METROPOLITANA,LIMA,LIMA,M,12-17 AÑOS,PERÚ,2
2023,8,150112,LIMA METROPOLITANA,LIMA,INDEPENDENCIA,M,18-29 AÑOS,VENEZUELA,1
2022,7,21201,ÁNCASH,HUAYLAS,CARAZ,F,12-17 AÑOS,PERÚ,2
2021,12,40102,AREQUIPA,AREQUIPA,ALTO SELVA ALEGRE,F,12-17 AÑOS,PERÚ,2
2020,12,160112,LORETO,MAYNAS,BELEN,M,6-11 AÑOS,PERÚ,1
2022,6,240101,TUMBES,TUMBES,TUMBES,F,12-17 AÑOS,PERÚ,6
2020,10,80601,CUSCO,CANCHIS,SICUANI,M,18-29 AÑOS,PERÚ,1
2021,1,150143,LIMA METROPOLITANA,LIMA,VILLA MARIA DEL TRIUNFO,M,60 A MAS AÑOS,PERÚ,1
2019,6,150136,LIMA METROPOLITANA,LIMA,SAN MIGUEL,M,6-11 AÑOS,PERÚ,1
2021,5,190307,PASCO,OXAPAMPA,VILLA RICA,M,12-17 AÑOS,PERÚ,1
2021,11,30109,APURIMAC,ABANCAY,TAMBURCO,M,,PERÚ,1
2021,10,120305,JUNÍN,CHANCHAMAYO,SAN RAMON,F,18-29 AÑOS,PERÚ,1
2021,7,22001,ÁNCASH,YUNGAY,YUNGAY,F,12-17 AÑOS,PERÚ,1
2025,5,150115,LIMA METROPOLITANA,LIMA,LA VICTORIA,M,60 A MAS AÑOS,PERÚ,2
2025,5,40128,AREQUIPA,AREQUIPA,YURA,M,30-59 AÑOS,PERÚ,4
2023,10,150119,LIMA METROPOLITANA,LIMA,LURIN,F,12-17 AÑOS,PERÚ,3
2023,8,130601,LA LIBERTAD,OTUZCO,OTUZCO,F,18-29 AÑOS,PERÚ,1
2023,7,120905,JUNÍN,CHUPACA,HUAMANCACA CHICO,M,60 A MAS AÑOS,PERÚ,1
2021,12,211201,PUNO,SANDIA,SANDIA,F,18-29 AÑOS,PERÚ,1
2023,5,81212,CUSCO,QUISPICANCHI,QUIQUIJANA,F,60 A MAS AÑOS,PERÚ,1
2024,5,40121,AREQUIPA,AREQUIPA,SANTA RITA DE SIGUAS,M,12-17 AÑOS,PERÚ,1
2022,12,150507,REGIÓN LIMA,CAÑETE,IMPERIAL,F,12-17 AÑOS,PERÚ,2
2023,11,150135,LIMA METROPOLITANA,LIMA,SAN MARTIN DE PORRES,F,18-29 AÑOS,PERÚ,6
2019,12,50104,AYACUCHO,HUAMANGA,CARMEN ALTO,F,12-17 AÑOS,PERÚ,5
2022,12,10205,AMAZONAS,BAGUA,IMAZA,M,30-59 AÑOS,PERÚ,1
2022,6,100102,HUÁNUCO,HUANUCO,AMARILIS,M,12-17 AÑOS,PERÚ,2
2024,2,150134,LIMA METROPOLITANA,LIMA,SAN LUIS,M,60 A MAS AÑOS,PERÚ,1
2025,6,130103,LA LIBERTAD,TRUJILLO,FLORENCIA DE MORA,M,12-17 AÑOS,PERÚ,1
2023,11,150106,LIMA METROPOLITANA,LIMA,CARABAYLLO,M,12-17 AÑOS,PERÚ,4
2025,7,150132,LIMA METROPOLITANA,LIMA,SAN JUAN DE LURIGANCHO,F,60 A MAS AÑOS,PERÚ,2
2022,2,230101,TACNA,TACNA,TACNA,M,12-17 AÑOS,PERÚ,2
2019,4,211101,PUNO,SAN ROMAN,JULIACA,M,18-29 AÑOS,PERÚ,2
2023,9,150103,LIMA METROPOLITANA,LIMA,ATE,F,60 A MAS AÑOS,PERÚ,3
